timestamp,Price,temperature_c,wind_speed_kph,humidity,feels_like_c,precipitation_mm
2020-01-01 01:00:00,30.24,-3.8,7.6,88,-7.7,0.0
2020-01-01 02:00:00,29.43,-2.2,8.0,88,-6.0,0.0
2020-01-01 03:00:00,29.66,-1.8,7.6,92,-5.4,0.1
2020-01-01 04:00:00,28.19,-1.6,6.8,94,-5.1,0.1
2020-01-01 05:00:00,31.17,-1.8,7.2,95,-5.3,0.1
2020-01-01 06:00:00,31.8,-1.2,8.4,96,-4.9,0.1
2020-01-01 07:00:00,28.9,-1.7,8.9,95,-5.5,0.1
2020-01-01 08:00:00,30.5,-1.9,9.4,95,-5.7,0.1
2020-01-01 09:00:00,34.68,-2.4,8.5,94,-6.2,0.0
2020-01-01 10:00:00,34.41,-3.8,8.3,94,-7.8,0.0
2020-01-01 11:00:00,34.84,-4.3,8.2,94,-8.4,0.0
2020-01-01 12:00:00,34.86,-3.7,8.1,93,-7.6,0.0
2020-01-01 13:00:00,34.98,-2.8,8.4,92,-6.6,0.0
2020-01-01 14:00:00,34.96,-2.2,7.7,93,-6.0,0.0
2020-01-01 15:00:00,34.33,-2.5,6.5,92,-6.1,0.0
2020-01-01 16:00:00,35.84,-3.8,8.7,92,-7.8,0.0
2020-01-01 17:00:00,36.58,-2.5,6.4,93,-6.0,0.0
2020-01-01 18:00:00,36.68,-6.1,9.0,94,-10.4,0.0
2020-01-01 19:00:00,36.44,-7.4,9.6,99,-11.8,0.0
2020-01-01 20:00:00,36.15,-5.6,6.4,99,-9.4,0.0
2020-01-01 21:00:00,35.2,-9.6,8.3,100,-14.1,0.0
2020-01-01 22:00:00,34.92,-10.2,9.8,96,-15.0,0.0
2020-01-01 23:00:00,35.14,-7.7,7.3,95,-11.8,0.0
2020-01-02 00:00:00,34.28,-5.8,8.5,94,-9.9,0.0
2020-01-02 01:00:00,29.24,-4.2,10.0,92,-8.5,0.1
2020-01-02 02:00:00,28.19,-3.3,12.2,93,-7.8,0.4
2020-01-02 03:00:00,28.18,-1.6,14.1,94,-6.2,0.6
2020-01-02 04:00:00,28.08,0.1,17.8,92,-4.8,0.2
